OrderDetailsID,OrderID,PizzaID,PizzaType,Quantity
1,1,26,hawaiian_m,1
2,2,23,classic_dlx_m,1
3,2,72,five_cheese_l,1
4,2,51,ital_supr_l,1
5,2,86,mexicana_m,1
6,2,18,thai_ckn_l,1
7,3,50,ital_supr_m,1
8,3,57,prsc_argla_l,1
9,4,50,ital_supr_m,1
10,5,50,ital_supr_m,1
11,6,1,bbq_ckn_s,1
12,6,40,the_greek_s,1
13,7,67,spinach_supr_s,1
14,8,67,spinach_supr_s,1
15,9,22,classic_dlx_s,1
16,9,76,green_garden_s,1
17,9,30,ital_cpcllo_l,1
18,9,51,ital_supr_l,1
19,9,49,ital_supr_s,1
20,9,85,mexicana_s,1
21,9,66,spicy_ital_l,1
22,9,90,spin_pesto_l,1
23,9,94,veggie_veg_s,1
24,10,87,mexicana_l,1
25,10,15,southw_ckn_l,1
26,11,3,bbq_ckn_l,1
27,11,6,cali_ckn_l,1
28,11,5,cali_ckn_m,1
29,11,39,pepperoni_l,1
30,12,6,cali_ckn_l,1
31,12,4,cali_ckn_s,1
32,12,12,ckn_pesto_l,1
33,12,50,ital_supr_m,1
34,13,87,mexicana_l,1
35,14,40,the_greek_s,1
36,15,19,big_meat_s,1
37,15,72,five_cheese_l,1
38,15,63,soppressata_l,1
39,15,40,the_greek_s,1
40,16,75,four_cheese_l,1
41,16,31,napolitana_s,1
42,16,18,thai_ckn_l,1
43,17,3,bbq_ckn_l,1
44,17,47,calabrese_m,1
45,17,72,five_cheese_l,1
46,17,74,four_cheese_m,1
47,17,50,ital_supr_m,1
48,17,79,ital_veggie_s,1
49,17,83,mediterraneo_m,2
50,17,87,mexicana_l,1
51,17,52,peppr_salami_s,1
52,17,93,spinach_fet_l,1
53,18,33,napolitana_l,1
54,19,30,ital_cpcllo_l,1
55,19,60,sicilian_l,1
56,20,19,big_meat_s,1
57,20,72,five_cheese_l,1
58,21,30,ital_cpcllo_l,1
59,22,72,five_cheese_l,1
60,22,29,ital_cpcllo_m,1
61,22,15,southw_ckn_l,1
62,23,13,southw_ckn_s,1
