PizzaID,PizzaTypeID,PizzaType,Size,Price
1,1,bbq_ckn,S,12.75
2,1,bbq_ckn,M,16.75
3,1,bbq_ckn,L,20.75
4,2,cali_ckn,S,12.75
5,2,cali_ckn,M,16.75
6,2,cali_ckn,L,20.75
7,3,ckn_alfredo,S,12.75
8,3,ckn_alfredo,M,16.75
9,3,ckn_alfredo,L,20.75
10,4,ckn_pesto,S,12.75
11,4,ckn_pesto,M,16.75
12,4,ckn_pesto,L,20.75
13,5,southw_ckn,S,12.75
14,5,southw_ckn,M,16.75
15,5,southw_ckn,L,20.75
16,6,thai_ckn,S,12.75
17,6,thai_ckn,M,16.75
18,6,thai_ckn,L,20.75
19,7,big_meat,S,12
20,7,big_meat,M,16
21,7,big_meat,L,20.5
22,8,classic_dlx,S,12
23,8,classic_dlx,M,16
24,8,classic_dlx,L,20.5
25,9,hawaiian,S,10.5
26,9,hawaiian,M,13.25
27,9,hawaiian,L,16.5
28,10,ital_cpcllo,S,12
29,10,ital_cpcllo,M,16
30,10,ital_cpcllo,L,20.5
31,11,napolitana,S,12
32,11,napolitana,M,16
33,11,napolitana,L,20.5
34,12,pep_msh_pep,S,11
35,12,pep_msh_pep,M,14.5
36,12,pep_msh_pep,L,17.5
37,13,pepperoni,S,9.75
38,13,pepperoni,M,12.5
39,13,pepperoni,L,15.25
40,14,the_greek,S,12
41,14,the_greek,M,16
42,14,the_greek,L,20.5
43,14,the_greek,XL,25.5
44,14,the_greek,XXL,35.95
45,15,brie_carre,S,23.65
46,16,calabrese,S,12.25
47,16,calabrese,M,16.25
48,16,calabrese,L,20.25
49,17,ital_supr,S,12.5
50,17,ital_supr,M,16.5
51,17,ital_supr,L,20.75
52,18,peppr_salami,S,12.5
53,18,peppr_salami,M,16.5
54,18,peppr_salami,L,20.75
55,19,prsc_argla,S,12.5
56,19,prsc_argla,M,16.5
57,19,prsc_argla,L,20.75
58,20,sicilian,S,12.25
59,20,sicilian,M,16.25
60,20,sicilian,L,20.25
61,21,soppressata,S,12.5
62,21,soppressata,M,16.5
63,21,soppressata,L,20.75
64,22,spicy_ital,S,12.5
65,22,spicy_ital,M,16.5
66,22,spicy_ital,L,20.75
67,23,spinach_supr,S,12.5
68,23,spinach_supr,M,16.5
69,23,spinach_supr,L,20.75
70,24,five_cheese,S,12.5
71,24,five_cheese,M,15.5
72,24,five_cheese,L,18.5
73,25,four_cheese,S,11.75
74,25,four_cheese,M,14.75
75,25,four_cheese,L,17.95
76,26,green_garden,S,12
77,26,green_garden,M,16
78,26,green_garden,L,20.25
79,27,ital_veggie,S,12.75
80,27,ital_veggie,M,16.75
81,27,ital_veggie,L,21
82,28,mediterraneo,S,12
83,28,mediterraneo,M,16
84,28,mediterraneo,L,20.25
85,29,mexicana,S,12
86,29,mexicana,M,16
87,29,mexicana,L,20.25
88,30,spin_pesto,S,12.5
89,30,spin_pesto,M,16.5
90,30,spin_pesto,L,20.75
91,31,spinach_fet,S,12
92,31,spinach_fet,M,16
93,31,spinach_fet,L,20.25
94,32,veggie_veg,S,12
95,32,veggie_veg,M,16
96,32,veggie_veg,L,20.25
